fileName,startTime,endTime,fileLength,fileSize,deltaTime
s00020-2567-03-30-17-47n.hea.csv,17:47:59 30/03/2567,15:41:59 31/03/2567,1315,220,229
s00079-2756-08-14-01-25n.hea.csv,01:25:00 14/08/2756,12:10:00 14/08/2756,646,96,81
s00079-2756-08-14-12-28n.hea.csv,12:28:00 14/08/2756,02:39:00 16/08/2756,2292,324,744
s00123-2772-11-02-03-01n.hea.csv,03:01:28 02/11/2772,13:00:28 03/11/2772,2040,224,87
s00124-3297-08-03-18-27n.hea.csv,18:27:12 03/08/3297,18:27:12 03/08/3297,1,4,-5782
s00124-3297-08-03-21-51n.hea.csv,21:51:12 03/08/3297,13:54:12 04/08/3297,964,152,-5578
s00124-3297-08-04-15-23n.hea.csv,15:23:12 04/08/3297,23:46:12 04/08/3297,504,84,-4526
s00138-2817-11-01-13-39n.hea.csv,13:39:38 01/11/2817,10:16:38 02/11/2817,1238,212,161
s00151-2509-04-12-15-19n.hea.csv,15:19:56 12/04/2509,07:02:56 15/04/2509,3824,540,129
s00151-2509-04-15-12-12n.hea.csv,12:12:22 15/04/2509,12:13:22 16/04/2509,1442,248,4262
s00151-2509-04-16-14-43n.hea.csv,14:43:22 16/04/2509,11:23:22 18/04/2509,2681,452,5853
s00177-3299-12-03-12-35n.hea.csv,12:35:33 03/12/3299,14:57:33 04/12/3299,1583,180,534350
s00208-2955-05-18-00-06n.hea.csv,00:06:59 18/05/2955,17:39:59 19/05/2955,2494,284,7150
s00214-3084-11-28-16-23n.hea.csv,16:23:47 28/11/3084,16:11:47 01/12/3084,4309,712,25527
s00217-2669-08-23-12-28n.hea.csv,12:28:39 23/08/2669,12:02:39 24/08/2669,1415,240,146
s00263-2931-11-13-23-52n.hea.csv,23:52:57 13/11/2931,18:06:57 15/11/2931,2535,288,-2647
s00263-2931-11-15-19-57n.hea.csv,19:57:57 15/11/2931,09:48:57 16/11/2931,832,92,-2
s00263-2931-11-16-11-58n.hea.csv,11:58:57 16/11/2931,15:25:57 16/11/2931,208,24,959
s00283-2948-10-24-13-16n.hea.csv,13:16:30 24/10/2948,12:51:30 25/10/2948,1416,160,42731
s00292-3050-10-10-16-50n.hea.csv,16:50:47 10/10/3050,17:03:47 10/10/3050,14,4,-43
s00292-3050-10-10-19-46n.hea.csv,19:46:47 10/10/3050,13:01:47 11/10/3050,1036,160,133
s00308-2915-08-04-12-57n.hea.csv,12:57:08 04/08/2915,19:52:08 06/08/2915,3296,376,63
s00318-3031-08-09-07-15n.hea.csv,07:15:59 09/08/3031,06:56:59 11/08/3031,2862,456,73
s00328-3144-10-20-14-50n.hea.csv,14:50:21 20/10/3144,14:28:21 25/10/3144,7179,1108,58
s00369-2939-10-27-13-03n.hea.csv,13:03:00 27/10/2939,11:24:00 28/10/2939,1342,212,294
s00377-3016-03-04-15-47n.hea.csv,15:47:21 04/03/3016,14:17:21 05/03/3016,1351,144,24588
s00379-3192-07-24-12-20n.hea.csv,12:20:05 24/07/3192,09:17:05 26/07/3192,2698,296,297
s00408-3350-09-28-22-27n.hea.csv,22:27:37 28/09/3350,17:11:37 29/09/3350,1125,152,118
s00408-3350-09-29-18-23n.hea.csv,18:23:37 29/09/3350,16:14:37 30/09/3350,1312,180,1314
s00408-3350-09-30-19-10n.hea.csv,19:10:37 30/09/3350,21:41:37 30/09/3350,152,24,2801
s00416-2509-05-22-15-14n.hea.csv,15:14:06 22/05/2509,17:50:06 22/05/2509,157,20,86
s00416-2509-05-23-00-20n.hea.csv,00:20:06 23/05/2509,02:00:06 23/05/2509,101,12,632
s00427-2977-04-30-13-51n.hea.csv,13:51:45 30/04/2977,14:39:45 30/04/2977,49,12,121
s00439-3242-12-28-03-07n.hea.csv,03:07:01 28/12/3242,03:07:01 28/12/3242,1,4,-1051
s00439-3242-12-28-20-29n.hea.csv,20:29:01 28/12/3242,11:03:01 29/12/3242,875,144,-9
s00439-3242-12-29-13-54n.hea.csv,13:54:01 29/12/3242,20:17:01 04/01/3243,9024,1416,1036
s00462-2830-04-26-15-50n.hea.csv,15:50:11 26/04/2830,09:43:11 29/04/2830,3954,440,56
s00491-2546-04-19-14-08n.hea.csv,14:08:13 19/04/2546,13:06:13 20/04/2546,1379,208,172
s00491-2546-04-20-13-09n.hea.csv,13:09:18 20/04/2546,06:15:18 21/04/2546,1027,144,1553
s00507-2521-10-17-17-06n.hea.csv,17:06:00 17/10/2521,19:57:00 24/10/2521,10252,1628,1183257
s00515-3148-05-26-11-35n.hea.csv,11:35:03 26/05/3148,23:45:03 30/05/3148,6491,1096,119
