"","x"
"1",20
"2",79
"3",123
"4",124
"5",138
"6",151
"7",177
"8",208
"9",214
"10",217
"11",263
"12",283
"13",292
"14",308
"15",318
"16",328
"17",369
"18",377
"19",379
"20",408
"21",416
"22",427
"23",439
"24",462
"25",491
"26",507
"27",515
"28",549
"29",565
"30",608
"31",625
"32",638
"33",650
"34",668
"35",682
"36",695
"37",703
"38",708
"39",710
"40",719
"41",736
"42",749
"43",770
"44",772
"45",787
"46",834
"47",843
"48",865
"49",871
"50",894
"51",906
"52",907
"53",925
"54",981
"55",1006
"56",1012
"57",1021
"58",1028
"59",1046
"60",1072
"61",1123
"62",1144
"63",1217
"64",1222
"65",1224
"66",1244
"67",1279
"68",1280
"69",1313
"70",1357
"71",1378
"72",1396
"73",1398
"74",1408
"75",1414
"76",1418
"77",1449
"78",1485
"79",1502
"80",1524
"81",1551
"82",1586
"83",1604
"84",1613
"85",1650
"86",1693
"87",1778
"88",1785
"89",1818
"90",1824
"91",1854
"92",1861
"93",1885
"94",1888
"95",1892
"96",1900
"97",1931
"98",1932
"99",1941
"100",1944
"101",1950
"102",1973
"103",2014
"104",2049
"105",2075
"106",2148
"107",2172
"108",2185
"109",2213
"110",2224
"111",2229
"112",2240
"113",2251
"114",2264
"115",2265
"116",2280
"117",2317
"118",2332
"119",2340
"120",2361
"121",2362
"122",2395
"123",2397
"124",2466
"125",2479
"126",2480
"127",2488
"128",2492
"129",2498
"130",2514
"131",2549
"132",2561
"133",2565
"134",2598
"135",2619
"136",2664
"137",2700
"138",2754
"139",2755
"140",2773
"141",2787
"142",2827
"143",2834
"144",2917
"145",3021
"146",3052
"147",3097
"148",3099
"149",3133
"150",3138
"151",3171
"152",3174
"153",3176
"154",3192
"155",3214
"156",3218
"157",3221
"158",3245
"159",3250
"160",3266
"161",3272
"162",3279
"163",3290
"164",3302
"165",3321
"166",3330
"167",3340
"168",3351
"169",3358
"170",3365
"171",3372
"172",3462
"173",3466
"174",3473
"175",3474
"176",3498
"177",3506
"178",3513
"179",3521
"180",3533
"181",3570
"182",3586
"183",3593
"184",3619
"185",3622
"186",3623
"187",3626
"188",3633
"189",3673
"190",3675
"191",3680
"192",3745
"193",3748
"194",3764
"195",3794
"196",3798
"197",3821
"198",3853
"199",3860
"200",3863
"201",3883
"202",3884
"203",3886
"204",3889
"205",3914
"206",3929
"207",3932
"208",3986
"209",3992
"210",3995
"211",4041
"212",4059
"213",4064
"214",4076
"215",4077
"216",4113
"217",4136
"218",4194
"219",4252
"220",4266
"221",4270
"222",4286
"223",4317
"224",4329
"225",4338
"226",4347
